Player,Pos,Team,Rank,Bye Week,Sort Pos,Comment,Comment 2
Randall Cobb,WR,NYJ,,7,3,,
Rasaad Shaheed,WR,NO,,11,3,,
Rashee Rice,WR,KC,,10,3,,
Richie James,WR,NYG,,13,3,,
Robby Anderson,WR,MIA,,10,3,,
Robert Tonyan,TE,CHI,,13,3,,
Robert Woods,WR,HOU,,7,3,,i
Russell Gage,WR,TB,,5,3,,i
Sam LaPorta,TE,DET,,9,3,,
Sammy Watkins,WR,ARI,,13,3,,
Scott Miller,WR,ATL,,11,3,,
Sterling Shepard,WR,NYG,,13,3,,
Steven Sims,WR,HOU,,7,3,,
Taysom Hill,TE,NO,,11,3,,
Terrance Marshall,WR,CAR,,7,3,,
Tim Patrick,WR,DEN,,9,3,,
Tre'Quan Smith,WR,NO,,11,3,,
Trent Sherfield,WR,BUF,,13,3,,
Trey McBride,TE,ARI,,14,3,,
Tutu Atwell,WR,LAC,,5,3,,
Ty Montgomery,WR,NE,,11,3,,
Tyler Grayson,TE,IND,,11,3,,
Tyler Higbee,TE,LAR,,10,3,,
Tyler Kroft,TE,MIN,,13,3,,
Tyquan Thorton,WR,NE,,11,3,,
Van Jefferson,WR,LAR,,10,3,,
Wan'Dale Robinson,WR,NYG,,13,3,,
Will Dissly,TE,SEA,,5,3,,
Zach Ertz,TE,ARI,,14,3,,i
Zach Pascal,WR,ARI,,14,3,,
Zay Jones,WR,JAC,,9,3,,
49ers,DST,SF,1,9,4,,
Eagles,DST,PHI,2,10,4,,
Cowboys,DST,DAL,3,7,4,,
Bills,DST,BUF,4,13,4,,
Steelers,DST,PIT,5,6,4,,
Patriots,DST,NE,6,11,4,,
Dolphins,DST,MIA,7,10,4,,
Broncos,DST,DEN,8,9,4,,
Jets,DST,NYJ,9,7,4,,
Saints,DST,NO,10,11,4,,
Chargers,DST,LAC,11,5,4,,
Ravens,DST,BAL,12,13,4,,
Chiefs,DST,KC,13,10,4,,
Commanders,DST,WAS,14,14,4,,
Browns,DST,CLE,15,5,4,,
Bengals,DST,CIN,16,7,4,,
Packers,DST,GB,17,6,4,,
Lions,DST,DET,18,9,4,,
Jaguars,DST,JAC,19,9,4,,
Buccaneers,DST,TB,20,5,4,,
Panthers,DST,CAR,21,7,4,,
Rams,DST,LAR,22,10,4,,
Vikings,DST,MIN,23,13,4,,
